grid_id|epsg|zoom|x|y|data|geom
eu-grid|3035|3|31|60|"{""poblacion"": {""penc"": 116, ""ue15"": 7, ""otros"": 0, ""total"": 777, ""magreb"": 0, ""penc_h"": 59, ""penc_m"": 49, ""afil_ss"": 204, ""america"": 0, ""edad65_"": 125, ""hombres"": 377, ""mujeres"": 365, ""pencinc"": 7, ""pencjub"": 54, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 27, ""edad0015"": 108, ""edad1664"": 503, ""afil_ss_a"": 137, ""afil_ss_h"": 129, ""afil_ss_m"": 68, ""afil_ss_p"": 60, ""espanyoles"": 746, ""pencinc_mi"": 634.5000000000, ""pencjub_mi"": 2749.0500000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 1903.5000000000}}"|0103000020DB0B00000100000005000000000000002CC845410000000040773B41000000002CC8454100000000C88A3B4100000000F0D1454100000000C88A3B4100000000F0D145410000000040773B41000000002CC845410000000040773B41
eu-grid|3035|3|31|61|"{""poblacion"": {""penc"": 127, ""ue15"": 11, ""otros"": 5, ""total"": 655, ""magreb"": 0, ""penc_h"": 57, ""penc_m"": 70, ""afil_ss"": 211, ""america"": 0, ""edad65_"": 107, ""hombres"": 332, ""mujeres"": 323, ""pencinc"": 8, ""pencjub"": 60, ""pencjyv"": 7, ""pencotr"": 0, ""pencviu"": 18, ""edad0015"": 85, ""edad1664"": 443, ""afil_ss_a"": 147, ""afil_ss_h"": 122, ""afil_ss_m"": 89, ""afil_ss_p"": 41, ""espanyoles"": 630, ""pencinc_mi"": 445.3200000000, ""pencjub_mi"": 3082.8000000000, ""pencjyv_mi"": 818.5900000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 1269.0000000000}}"|0103000020DB0B00000100000005000000000000002CC8454100000000C88A3B41000000002CC8454100000000509E3B4100000000F0D1454100000000509E3B4100000000F0D1454100000000C88A3B41000000002CC8454100000000C88A3B41
eu-grid|3035|3|31|62|"{""poblacion"": {""penc"": 68, ""ue15"": 0, ""otros"": 0, ""total"": 272, ""magreb"": 0, ""penc_h"": 31, ""penc_m"": 23, ""afil_ss"": 78, ""america"": 0, ""edad65_"": 67, ""hombres"": 130, ""mujeres"": 122, ""pencinc"": 10, ""pencjub"": 36, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 10, ""edad0015"": 24, ""edad1664"": 162, ""afil_ss_a"": 56, ""afil_ss_h"": 34, ""afil_ss_m"": 23, ""afil_ss_p"": 12, ""espanyoles"": 264, ""pencinc_mi"": 479.0200000000, ""pencjub_mi"": 1269.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B00000100000005000000000000002CC8454100000000509E3B41000000002CC8454100000000D8B13B4100000000F0D1454100000000D8B13B4100000000F0D1454100000000509E3B41000000002CC8454100000000509E3B41
eu-grid|3035|3|31|65|"{""poblacion"": {""penc"": 14, ""ue15"": 0, ""otros"": 0, ""total"": 83, ""magreb"": 0, ""penc_h"": 6, ""penc_m"": 8, ""afil_ss"": 34, ""america"": 0, ""hombres"": 50, ""mujeres"": 33, ""pencinc"": 5, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""edad1664"": 62, ""afil_ss_a"": 29, ""afil_ss_p"": 5, ""espanyoles"": 82, ""pencinc_mi"": 466.1500000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000002CC8454100000000E8D83B41000000002CC845410000000070EC3B4100000000F0D145410000000070EC3B4100000000F0D1454100000000E8D83B41000000002CC8454100000000E8D83B41
eu-grid|3035|3|32|56|"{""poblacion"": {""penc"": 1245, ""ue15"": 0, ""otros"": 52, ""total"": 5538, ""magreb"": 11, ""penc_h"": 651, ""penc_m"": 575, ""afil_ss"": 1548, ""america"": 0, ""edad65_"": 1171, ""hombres"": 2692, ""mujeres"": 2840, ""pencinc"": 138, ""pencjub"": 540, ""pencjyv"": 26, ""pencotr"": 45, ""pencviu"": 358, ""edad0015"": 744, ""edad1664"": 3605, ""afil_ss_a"": 1176, ""afil_ss_h"": 860, ""afil_ss_m"": 661, ""afil_ss_p"": 228, ""espanyoles"": 5437, ""pencinc_mi"": 12302.0500000000, ""pencjub_mi"": 30420.4600000000, ""pencjyv_mi"": 2709.8100000000, ""pencotr_mi"": 3147.0000000000, ""pencviu_mi"": 12792.4200000000}}"|0103000020DB0B0000010000000500000000000000F0D145410000000020293B4100000000F0D1454100000000A83C3B4100000000B4DB454100000000A83C3B4100000000B4DB45410000000020293B4100000000F0D145410000000020293B41
eu-grid|3035|3|32|58|"{""poblacion"": {""penc"": 144, ""ue15"": 0, ""otros"": 0, ""total"": 728, ""magreb"": 0, ""penc_h"": 76, ""penc_m"": 55, ""afil_ss"": 220, ""america"": 0, ""edad65_"": 132, ""hombres"": 369, ""mujeres"": 359, ""pencinc"": 5, ""pencjub"": 75, ""pencjyv"": 5, ""pencotr"": 0, ""pencviu"": 17, ""edad0015"": 101, ""edad1664"": 455, ""afil_ss_a"": 165, ""afil_ss_h"": 118, ""afil_ss_m"": 76, ""afil_ss_p"": 50, ""espanyoles"": 719, ""pencinc_mi"": 1046.9300000000, ""pencjub_mi"": 3275.9200000000, ""pencjyv_mi"": 927.7800000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B0000010000000500000000000000F0D145410000000030503B4100000000F0D1454100000000B8633B4100000000B4DB454100000000B8633B4100000000B4DB45410000000030503B4100000000F0D145410000000030503B41
eu-grid|3035|3|32|59|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000F0D1454100000000B8633B4100000000F0D145410000000040773B4100000000B4DB45410000000040773B4100000000B4DB454100000000B8633B4100000000F0D1454100000000B8633B41
eu-grid|3035|3|35|55|"{""poblacion"": {""penc"": 32, ""ue15"": 0, ""otros"": 0, ""total"": 97, ""magreb"": 0, ""penc_h"": 7, ""penc_m"": 7, ""afil_ss"": 17, ""america"": 0, ""hombres"": 51, ""mujeres"": 38, ""pencinc"": 0, ""pencjub"": 12, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 7, ""edad1664"": 60, ""afil_ss_a"": 6, ""afil_ss_h"": 5, ""afil_ss_m"": 0, ""afil_ss_p"": 0, ""espanyoles"": 97, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 1522.2600000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B00000100000005000000000000003CEF45410000000098153B41000000003CEF45410000000020293B410000000000F945410000000020293B410000000000F945410000000098153B41000000003CEF45410000000098153B41
eu-grid|3035|3|32|60|"{""poblacion"": {""penc"": 51, ""ue15"": 0, ""otros"": 0, ""total"": 309, ""magreb"": 0, ""penc_h"": 20, ""penc_m"": 19, ""afil_ss"": 87, ""america"": 0, ""edad65_"": 60, ""hombres"": 140, ""mujeres"": 144, ""pencinc"": 0, ""pencjub"": 23, ""pencjyv"": 5, ""pencotr"": 0, ""pencviu"": 0, ""edad0015"": 39, ""edad1664"": 195, ""afil_ss_a"": 59, ""afil_ss_h"": 45, ""afil_ss_m"": 31, ""afil_ss_p"": 17, ""espanyoles"": 308, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 2936.3300000000, ""pencjyv_mi"": 833.9800000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000F0D145410000000040773B4100000000F0D1454100000000C88A3B4100000000B4DB454100000000C88A3B4100000000B4DB45410000000040773B4100000000F0D145410000000040773B41
eu-grid|3035|3|32|61|"{""poblacion"": {""penc"": 96, ""ue15"": 7, ""otros"": 0, ""total"": 422, ""magreb"": 0, ""penc_h"": 48, ""penc_m"": 43, ""afil_ss"": 117, ""america"": 0, ""edad65_"": 73, ""hombres"": 219, ""mujeres"": 197, ""pencinc"": 0, ""pencjub"": 47, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 7, ""edad0015"": 65, ""edad1664"": 246, ""afil_ss_a"": 65, ""afil_ss_h"": 49, ""afil_ss_m"": 42, ""afil_ss_p"": 10, ""espanyoles"": 400, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 1236.4000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B0000010000000500000000000000F0D1454100000000C88A3B4100000000F0D1454100000000509E3B4100000000B4DB454100000000509E3B4100000000B4DB454100000000C88A3B4100000000F0D1454100000000C88A3B41
